event_id,target,signal,signal_reason,selected_strategy,elect,M,fair_value,risk_adjusted_fair_value,arb_return_%,E_return_%,decision_metric,decision_value_%,downside_5%_%,cvar_5%_%,loss_probability_%,long_fair_value,long_E_return_%,long_downside_5%_%,long_loss_probability_%,reverse_settlement_value,reverse_completion_return_%,reverse_E_return_%,reverse_downside_5%_%,reverse_loss_probability_%,p_completed,p_terminated,p_withdrawn,outcome_probability_source,terminated_return_%,withdrawn_return_%,terminated_value,withdrawn_value,hedge_side,hedge_ratio,long_hedge_ratio_short_acquirer,reverse_hedge_ratio_long_acquirer,size_x,actual_outcome,realized_return_source,realized_return_%,capacity_status,capacity_flow_model,capacity_binding_constraint,capacity_source_mix,capacity_raw_max_binding_constraint,capacity_raw_max_notional,capacity_raw_max_pct_shares_outstanding,capacity_raw_max_shares,capacity_max_binding_constraint,capacity_max_source_mix,capacity_max_seller_cash_prob,capacity_max_own_cash_prob,capacity_max_lender_cash_prob,capacity_max_buyer_cash_prob,capacity_max_shares,capacity_max_notional,capacity_max_pct_shares_outstanding,capacity_max_E_return_%,capacity_max_downside_5%_%,capacity_max_loss_probability_%,capacity_max_expected_pnl,capacity_max_cash_demand_shift_pctpts,capacity_max_impacted_mean_cash_election_%,capacity_max_baseline_realized_return_%,capacity_max_baseline_realized_pnl,capacity_max_self_impact_realized_return_%,capacity_max_self_impact_realized_pnl,capacity_optimal_binding_constraint,capacity_optimal_source_mix,capacity_optimal_seller_cash_prob,capacity_optimal_own_cash_prob,capacity_optimal_lender_cash_prob,capacity_optimal_buyer_cash_prob,capacity_optimal_shares,capacity_optimal_notional,capacity_optimal_pct_shares_outstanding,capacity_optimal_E_return_%,capacity_optimal_downside_5%_%,capacity_optimal_loss_probability_%,capacity_optimal_expected_pnl,capacity_optimal_cash_demand_shift_pctpts,capacity_optimal_impacted_mean_cash_election_%,capacity_optimal_baseline_realized_return_%,capacity_optimal_baseline_realized_pnl,capacity_optimal_self_impact_realized_return_%,capacity_optimal_self_impact_realized_pnl,capacity_shares,capacity_notional,capacity_pct_shares_outstanding,capacity_max_raw_pct_shares_outstanding,capacity_adv20,capacity_shares_outstanding,capacity_passive_share_%,capacity_positive_holder_share_%,capacity_positive_holder_share_of_active_%,capacity_noisy_holder_share_%,capacity_noisy_cash_prob,capacity_holder_model_source,capacity_holder_fit_n,capacity_holder_p_hat,capacity_holder_q_hat,capacity_holder_predicted_cash_demand_%,capacity_holder_rational_action,capacity_positive_sell_rate_%,capacity_seller_cash_prob,capacity_buyer_cash_prob,capacity_lender_cash_prob,capacity_own_cash_prob,capacity_cash_demand_shift_pctpts,capacity_impacted_mean_cash_election_%,capacity_election_impact_used_in_payoff,capacity_adjusted_E_return_%,capacity_adjusted_downside_5%_%,capacity_adjusted_loss_probability_%,capacity_alpha_decay_%,capacity_adjusted_realized_return_%,capacity_baseline_realized_return_%,capacity_baseline_realized_pnl,capacity_self_impact_realized_return_%,capacity_self_impact_realized_pnl,self_impact_can_eliminate_arbitrage,self_impact_break_even_pct_shares_outstanding,self_impact_proof_note
E000238_20070201_ICNB_Financial_Corp__Firstbank_Corp,ICNB Financial Corp,REVIEW,abs_completion_or_election_return_above_30pct,REVIEW,CASH,22.8,31.4,29.24,37.72,28.27,mean,28.27,-25.0,-27.44,14.51,31.4,28.27,-25.0,14.51,31.12,-36.5,-27.18,-36.5,85.41,0.8581,0.1077,0.0343,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,17.1,14.82,SHORT_ACQUIRER,0.186,0.186,0.704,0.0,completed,completed_status_no_realized_f_cash,,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000075_20200806_Sirius_International_Insurance_Group_Ltd__SiriusPoint_Ltd,Sirius International Insur,REVERSE,risk_adjusted_return_positive,SHORT_TARGET_PASSIVE,CASH,10.93,8.04,7.85,-16.53,28.16,mean,28.16,26.46,26.46,0.0,9.12,-19.84,-37.1,100.0,8.04,26.46,28.16,26.46,0.0,0.838,0.1143,0.0477,external_outcome_probabilities_explicit_three_state,-37.1,-37.1,6.88,6.88,LONG_ACQUIRER,0.371,0.096,0.371,3.0,completed,completed_status_no_realized_f_cash,26.46,ok,short_target_borrow_from_inactive_sell_to_noisy_buyers,noisy_buyer_demand,passive_inactive_lenders:1.00,noisy_buyer_demand,35214939.637,0.4591,3221860.9,noisy_buyer_demand,passive_inactive_lenders:1.00,,,0.5,0.2,3221860.9,35214939.637,0.4591,28.1624,26.4613,0.0,9917379.9009,-0.1377,42.155,26.4613,9318346.6415,26.4613,9318346.6415,noisy_buyer_demand,passive_inactive_lenders:1.00,,,0.5,0.2,3221860.9,35214939.637,0.4591,28.1624,26.4613,0.0,9917379.9009,-0.1377,42.155,26.4613,9318346.6415,26.4613,9318346.6415,3221860.9,35214939.637,0.4591,0.4591,3221860.9,701783000.0,13.3814,10.0,11.5449,76.6186,0.2,rolling_structural_fit,31.0,0.2,0.1,,,0.0,,0.2,0.5,,-0.1377,42.155,0,28.1624,26.4613,0.0,0.0,26.4613,26.4613,9318346.6415,26.4613,9318346.6415,0,,not_possible_for_reverse_under_fixed_pool_passive_blended_settlement
E000278_20090421_Endocare_Inc__HealthTronics_Inc,Endocare Inc,REVIEW,abs_completion_or_election_return_above_30pct,REVIEW,CASH,0.97,1.31,1.22,35.37,26.15,mean,26.15,-28.87,-30.38,14.06,1.31,26.15,-28.87,14.06,1.21,-24.82,-16.99,-24.82,85.82,0.8589,0.1068,0.0343,external_outcome_probabilities_explicit_three_state,-28.87,-35.0,0.69,0.63,SHORT_ACQUIRER,0.103,0.103,0.388,0.0,completed,completed_status_no_realized_f_cash,,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000014_20110616_Southern_Union_Co__Energy_Transfer_LP,Southern Union Co,REVIEW,abs_completion_or_election_return_above_30pct,REVIEW,STOCK,33.7,45.54,42.29,35.15,25.49,mean,25.49,-25.0,-27.24,15.48,45.54,25.49,-25.0,15.48,44.98,-33.48,-24.08,-33.48,84.58,0.846,0.119,0.0351,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,25.28,21.9,SHORT_ACQUIRER,0.708,0.708,0.4,0.0,completed,realized_f_cash,36.03,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000026_20180502_MTGE_Investment_Corp__Annaly_Capital_Management_Inc,MTGE Investment Corp,REVIEW,implausible_cash_vs_stock_term_gap,REVIEW,CASH,19.75,14.8,14.73,-7.13,25.42,mean,25.42,25.0,25.0,0.0,18.34,-10.21,-25.0,100.0,14.8,25.05,25.42,25.0,0.0,0.8504,0.1116,0.038,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,14.81,12.84,LONG_ACQUIRER,0.476,0.128,0.476,0.0,completed,realized_f_cash,25.05,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000051_20140312_EPL_Oil___Gas_Inc__Energy_XXI_Ltd,EPL Oil & Gas Inc,REVIEW,implausible_cash_vs_stock_term_gap,REVIEW,CASH,38.07,29.93,29.57,-1.69,22.34,mean,22.34,21.37,21.37,0.0,37.43,-5.68,-25.0,38.15,29.93,21.37,22.34,21.37,0.0,0.8427,0.1206,0.0368,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,28.55,24.75,LONG_ACQUIRER,0.204,0.035,0.204,0.0,completed,realized_f_cash,21.37,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000041_20181009_Antero_Midstream_Partners_LP__Antero_Midstream_Corp,Antero Midstream Partners ,REVIEW,implausible_cash_vs_stock_term_gap,REVIEW,STOCK,32.72,43.05,39.91,31.56,21.97,mean,21.97,-25.0,-27.51,38.95,43.05,21.97,-25.0,38.95,28.46,13.03,15.36,13.03,0.0,0.8398,0.119,0.0412,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,24.54,21.27,SHORT_ACQUIRER,1.294,1.294,0.818,0.0,completed,realized_f_cash,8.55,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000145_20070516_East_Penn_Financial_Corp__Harleysville_National_Corp,East Penn Financial Corp,REVIEW,implausible_cash_vs_stock_term_gap,REVIEW,CASH,13.52,11.14,10.66,2.08,21.15,mean,21.15,17.61,17.61,0.0,13.8,-4.06,-41.86,37.59,11.14,17.61,21.15,17.61,0.0,0.8574,0.1083,0.0343,external_outcome_probabilities_explicit_three_state,-41.86,-41.86,7.86,7.86,LONG_ACQUIRER,0.151,0.031,0.151,0.0,completed,completed_status_no_realized_f_cash,17.61,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000092_20100419_GEO_Reentry_Inc__GEO_Group_Inc_The,GEO Reentry Inc,REVIEW,implausible_cash_vs_stock_term_gap,REVIEW,STOCK,28.24,22.99,22.33,-3.36,20.93,mean,20.93,18.6,18.6,0.0,27.29,-7.83,-33.75,42.19,22.99,18.6,20.93,18.6,0.0,0.8516,0.1139,0.0345,external_outcome_probabilities_explicit_three_state,-33.75,-35.0,18.71,18.36,LONG_ACQUIRER,1.04,1.244,1.04,0.0,completed,completed_status_no_realized_f_cash,18.6,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000093_20130909_MTR_Gaming_Group_Inc__Caesars_Entertainment_Inc,MTR Gaming Group Inc,PASS_P05,best_candidate_p05_below_floor,PASS,CASH,4.69,5.83,5.48,24.35,16.81,mean,16.81,-25.0,-27.31,14.62,5.83,16.81,-25.0,14.62,5.2,-10.87,-5.26,-10.87,85.32,0.8532,0.112,0.0348,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,3.52,3.05,SHORT_ACQUIRER,0.128,0.128,0.5,0.0,completed,realized_f_cash,14.64,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000091_20070923_C-COR_Inc_Old__ARRIS_Group_Inc,C-COR Inc/Old,PASS_P05,best_candidate_p05_below_floor,PASS,CASH,11.49,13.5,12.72,17.49,10.71,mean,10.71,-25.0,-27.27,15.09,13.5,10.71,-25.0,15.09,12.81,-11.49,-5.52,-11.49,84.64,0.85,0.1156,0.0343,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,8.62,7.47,SHORT_ACQUIRER,0.131,0.131,0.492,0.0,completed,completed_status_no_realized_f_cash,,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000259_20120503_Alliance_Bankshares_Corp__WashingtonFirst_Bankshares_Inc,Alliance Bankshares Corp,ENTER,risk_adjusted_return_positive,LONG_TARGET_ELECTION,CASH,4.5,5.26,4.98,16.99,10.62,mean,10.62,-25.0,-27.63,14.27,5.26,10.62,-25.0,14.27,5.23,-16.2,-10.3,-16.2,86.52,0.8598,0.1058,0.0344,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,3.38,2.92,SHORT_ACQUIRER,0.177,0.177,0.355,0.38,completed,realized_f_cash,17.78,ok,long_target_buy_from_noisy_then_ev_sensitive_then_passive,source_supply,noisy_sellers:0.95|passive_inactive:0.05,source_supply,4288.275,0.0186,952.95,source_supply,noisy_sellers:0.95|passive_inactive:0.05,0.2949,1.0,,,952.95,4288.275,0.0186,10.6893,-25.0,14.15,458.385,0.0131,43.3665,17.7778,762.36,17.7765,762.3044,source_supply,noisy_sellers:0.95|passive_inactive:0.05,0.2949,1.0,,,952.95,4288.275,0.0186,10.6893,-25.0,14.15,458.385,0.0131,43.3665,17.7778,762.36,17.7765,762.3044,952.95,4288.275,0.0186,0.0186,903.95,5110000.0,0.0959,0.0,0.0,99.9041,0.3,rolling_structural_fit,32.0,0.3,0.0,,,0.0,0.2949,,,1.0,0.0131,43.3665,1,10.6893,-25.0,14.15,-0.0695,17.7765,17.7778,762.36,17.7765,762.3044,0,,not_within_100pct_target_shares_under_current_terms_and_gates
E000151_20120531_Beacon_Federal_Bancorp_Inc__Beacon_Financial_Corp,Beacon Federal Bancorp Inc,PASS_P05,best_candidate_p05_below_floor,PASS,STOCK,19.2,24.55,21.15,27.86,10.16,mean,10.16,-35.0,-35.0,30.25,24.55,10.16,-35.0,30.25,23.06,-20.11,-4.21,-20.11,68.66,0.6933,0.2293,0.0774,external_outcome_probabilities_explicit_three_state,-29.17,-35.0,13.6,12.48,SHORT_ACQUIRER,0.727,0.727,0.46,0.0,completed,completed_status_no_realized_f_cash,,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000083_20120723_GeoEye_Inc__DigitalGlobe_Inc,GeoEye Inc,REVERSE,risk_adjusted_return_positive,SHORT_TARGET_PASSIVE,STOCK,24.68,23.43,22.22,2.33,9.97,mean,9.97,5.06,5.06,0.0,25.25,-3.38,-37.72,50.16,23.43,5.06,9.97,5.06,0.0,0.8523,0.1129,0.0347,external_outcome_probabilities_explicit_three_state,-37.72,-37.72,15.37,15.37,LONG_ACQUIRER,0.713,1.124,0.713,3.0,completed,completed_status_no_realized_f_cash,5.06,ok,short_target_borrow_from_inactive_sell_to_noisy_buyers,noisy_buyer_demand,passive_inactive_lenders:0.67|noisy_inactive_lenders:0.33,noisy_buyer_demand,11773587.83,2.1192,477049.75,noisy_buyer_demand,passive_inactive_lenders:0.67|noisy_inactive_lenders:0.33,,,0.4336,0.3,477049.75,11773587.83,2.1192,9.9725,5.0638,0.0,1174117.5043,-0.2831,42.2224,5.0638,596192.9251,5.0638,596192.9251,noisy_buyer_demand,passive_inactive_lenders:0.67|noisy_inactive_lenders:0.33,,,0.4336,0.3,477049.75,11773587.83,2.1192,9.9725,5.0638,0.0,1174117.5043,-0.2831,42.2224,5.0638,596192.9251,5.0638,596192.9251,477049.75,11773587.83,2.1192,2.1192,477049.75,22511000.0,7.0786,0.0,0.0,92.9214,0.3,rolling_structural_fit,34.0,0.3,0.0,,,0.0,,0.3,0.4336,,-0.2831,42.2224,0,9.9725,5.0638,0.0,0.0,5.0638,5.0638,596192.9251,5.0638,596192.9251,0,,not_possible_for_reverse_under_fixed_pool_passive_blended_settlement
E000170_20080910_American_Community_Bancshares_Inc__Yadkin_Financial_Corp,American Community Bancsha,REVIEW,implausible_cash_vs_stock_term_gap,REVIEW,CASH,9.86,11.46,10.77,16.21,9.19,mean,9.19,-29.01,-30.41,15.02,11.46,9.19,-29.01,15.02,10.57,-7.17,-1.44,-7.17,84.75,0.8508,0.1148,0.0344,external_outcome_probabilities_explicit_three_state,-29.01,-35.0,7.0,6.41,SHORT_ACQUIRER,0.343,0.343,0.686,0.0,completed,completed_status_no_realized_f_cash,,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000012_20131023_Cole_Real_Estate_Investment_Inc__VEREIT_Inc,Cole Real Estate Investmen,PASS_LOSS_PROB,best_candidate_loss_probability_above_ceiling,PASS,STOCK,14.5,14.72,13.41,2.7,7.53,mean,7.53,-1.49,-1.49,69.28,14.89,-6.94,-35.0,31.43,14.72,-1.49,7.53,-1.49,69.28,0.6911,0.2199,0.089,external_outcome_probabilities_explicit_three_state,-25.0,-35.0,10.88,9.43,LONG_ACQUIRER,0.874,1.046,0.874,0.0,completed,realized_f_cash,-1.49,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
E000050_20140917_Auxilium_Pharmaceuticals_LLC__Endo_International_PLC,"Auxilium Pharmaceuticals, ",PASS_LOSS_PROB,best_candidate_loss_probability_above_ceiling,PASS,CASH,31.18,32.77,28.85,6.23,7.47,mean,7.47,-5.09,-5.09,68.95,33.12,-6.73,-35.38,31.13,32.77,-5.09,7.47,-5.09,68.95,0.6882,0.2097,0.1021,external_outcome_probabilities_explicit_three_state,-35.38,-35.38,20.15,20.15,LONG_ACQUIRER,0.244,0.065,0.244,0.0,completed,realized_f_cash,-5.09,not_evaluated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,
