event_id,pct_elected_cash,pct_elected_stock,pct_received_cash,cash_proration_factor,aggregate_cash_usd,shares_base,disclosure_type,basis,notes
E000017_20211214_Terminix_Global_Holdings_Inc__Rentokil_Initial_PLC,31.8,68.2,,,,121613190.0,elected_pct,direct,"Cash consideration was oversubscribed and prorated, with cash electors receiving a mix of reduced cash plus ADSs, but no explicit proration factor or post-allocation percentage was disclosed."
E000018_20080317_NYMEX_Holdings_Inc__CME_Group_Inc,29.37,58.73,,1.0,,98749800.0,elected_shares_derived,derived,"Preliminary election results (~29M cash-elect, ~58M stock-elect) derived against ~98.75M shares outstanding; cash was later found undersubscribed so cash electors received full cash while stock electors' consideration was reduced proportionally."
E000022_20140713_URS_Corp__AECOM,,,,,2300000000.0,,dollars_only,not_found,"Only aggregate cash (~$2.3B) and share totals are disclosed; no election counts, percentages, or proration factor are provided."
E000024_20161117_Western_Refining_Inc__Andeavor,,,,0.19,404000000.0,88048292.0,proration_factor_only,direct,"Cash elections were oversubscribed beyond the 10,843,042-share cap; preliminary ~19% cash proration factor and ~$404M aggregate cash consideration are directly disclosed, but no explicit pct_elected or pct_received figures are given."
E000025_20061006_Global_Signal_Inc__Crown_Castle_Inc,97.3,2.6,,0.1459,550000000.0,70713364.0,elected_pct,direct,"97.3% of eligible GSL shares elected cash (vs 2.6% stock) but cash demand exceeded the $550M cap, so cash electors received $8.16/share (proration factor ~0.146) plus ~1.375 CCI shares instead of full $55.95."
E000026_20180502_MTGE_Investment_Corp__Annaly_Capital_Management_Inc,15.77,67.65,,1.0,,34632768.0,elected_pct,direct,"Direct percentages for cash (15.77%) and stock (67.65%) elections given against 34,632,768 tendered shares; stock elections were prorated ~62% while cash elections received full $19.65 with no disclosed proration."
E000027_20150122_City_National_Corp_CA__Royal_Bank_of_Canada,,,,,,,not_disclosed,not_found,"Final per-share consideration terms disclosed but no breakdown of election percentages, proration factor, or aggregate cash amount is provided."
E000030_20180906_LaSalle_Hotel_Properties__Pebblebrook_Hotel_Trust,77.0,23.0,,0.389,1260600637.0,,elected_pct,direct,"~77% of LaSalle shares elected cash (exceeding 30-33% cap), prorated to a ~38.9% cash fill factor; aggregate cash paid was $1,260,600,637."
E000031_20180129_KapStone_Paper_and_Packaging_Corp__Westrock_Co,96.8,3.2,96.8,,3300000000.0,97800000.0,elected_shares_derived,derived,"No proration occurred (stock elections undersubscribed relative to 25% cap), so elected and received percentages coincide; derived from 1,564,992 stock shares issued (~3.2% of ~97.8M KapStone shares) and ~$3.3B aggregate cash paid."
E000033_20250515_Foot_Locker_Inc__Dick_s_Sporting_Goods_Inc,1.2,92.6,,,,,elected_pct,direct,Preliminary election results directly state percentages electing cash and stock with no proration applied.
E000034_20070219_Florida_Rock_Industries_Inc__Vulcan_Materials_Co,85.7,10.7,69.9,0.816,,66692551.0,elected_pct,direct,"85.7% of shares elected cash and 10.7% elected stock (direct); cash was prorated at an 81.6% fill rate, yielding an estimated ~69.9% of shares ultimately receiving cash consideration (derived from elected % × proration factor)."
E000037_20090420_PepsiAmericas_Inc__PepsiCo_Inc,3.3,96.7,,1.0,,70862059.0,elected_pct,direct,"Cash elections (3.3%) were undersubscribed relative to the 50% cash target, so cash electors received 100% cash while non-electors received ~48.3% cash via proration."
E000038_20100415_Mariner_Energy_Inc__Apache_Corp,,,,1.0,800000000.0,,proration_factor_only,direct,"Cash electors received full $26.00 per share with no proration (factor=1.0); stock electors were prorated to ~81.4%, but specific cash/stock election percentages and share bases were not disclosed separately."
E000039_20070604_Solectron_Corp__Flex_Ltd,8.9,79.0,30.06,,1070000000.0,918438865.0,elected_pct,direct,"8.9% elected cash and 79.0% elected stock (exceeding 70% cap), so stock electors were prorated (~11.34% cash/88.66% stock); cash electors and non-electors received 100% cash, yielding ~30.1% total cash outcome; aggregate cash paid ≈$1.07B."
E000040_20170504_Capital_Bank_Financial_Corp__First_Horizon_Corp,,,9.9,0.46,410535300.0,102162973.0,received_or_allocated,derived,"Cash was oversubscribed; ~10,118,435 shares converted to cash (derived 9.9% of ~102.16M total shares) with cash electors receiving a 46% cash/54% stock proration factor, but no explicit election-demand percentage was disclosed."
E000041_20181009_Antero_Midstream_Partners_LP__Antero_Midstream_Corp,22.0,43.2,,,,88459812.0,elected_pct,direct,"Election percentages (22.0% cash, 43.2% stock) directly stated; final proration altered cash/stock mix per unit but no single clean proration fraction or received-cash percentage was disclosed."
E000042_20140113_Foster_Wheeler_AG__Amec_Foster_Wheeler_Ltd,93.72,6.28,,0.5383,1540273504.0,95395711.0,elected_pct,derived,"Cash/stock election percentages derived from final tendered share counts (89,409,829 and 5,985,882 of 95,395,711 shares); final proration factor of 53.83% applied to cash elections, with $1,540,273,504 aggregate cash paid."
E000043_20181109_Finisar_Corp__Coherent_Corp,,,,,,,not_disclosed,not_found,"Only consideration mechanics and proration formulas are disclosed; no actual election percentages, share counts, or proration factor were reported."
E000044_20060905_Veritas_DGC_Inc__Viridien,,,49.336,,1500000000.0,40351000.0,received_or_allocated,direct,"424B5 discloses final allocation ratios (49.336% cash / 50.664% stock) and aggregate consideration ($1.5B cash, 46.1M ADSs) as post-closing outcomes, not raw election percentages."
E000046_20140321_LIN_Media_LLC__Media_General_Inc,,,,,,,oversubscribed_qualitative,not_found,"Cash election was oversubscribed relative to the 29,380,053-share cap, but no exact elected/received percentages, share counts, or proration factor were disclosed."
E000049_20140911_Conversant_Inc__Bread_Financial_Holdings_Inc,,,,,991500000.0,,dollars_only,not_found,Only aggregate cash paid (~$991.5M) and shares issued (~4.6M) are disclosed; no election percentages or proration factor are given.
E000050_20140917_Auxilium_Pharmaceuticals_LLC__Endo_International_PLC,0.4,94.9,,,,54966186.0,elected_pct,direct,Cash election was undersubscribed (0.4%) and paid in full; stock election was oversubscribed (94.9%) and prorated to ~$9.75 cash + 0.3448 shares per share instead of the elected 0.4880 shares.
E000051_20140312_EPL_Oil___Gas_Inc__Energy_XXI_Ltd,75.7,2.86,,0.6646,,39928038.0,elected_pct,direct,"Preliminary street-name counts show 75.7% cash and 2.86% stock elections (base 39,928,038 shares); final proration reduced cash-election payout to $25.92 (vs. $39.00 stated), implying an approximate 0.665 cash fill factor."
E000052_20240628_Infinera_Corp__Nokia_Oyj,28.0,72.0,,0.58,,,elected_pct,direct,Pre-proration cash/stock election demand percentages (28%/72%) and a ~58% proration factor converting stock/mixed elections to cash were explicitly disclosed.
E000053_20140428_Susser_Holdings_Corp__ETP_Legacy_LP,1.21,78.8,50.0,1.0,875000000.0,,elected_pct,direct,"Cash election (1.21%) was undersubscribed and paid in full; stock election (78.8%) was oversubscribed and prorated to $39.51 cash + 0.7365 units per share, yielding an aggregate 50% cash/50% unit consideration split (~$875M cash total)."
E000054_20240229_Sterling_Check_Corp__First_Advantage_Corp,58.42,41.58,71.0,1.0,,,received_or_allocated,direct,"Cash was undersubscribed (58.42% elected vs 71% received) so all cash elections were fully honored, while only 65.71% of stock elections received stock due to oversubscription of the 28% stock cap."
E000057_20250806_Aris_Water_Solution_Inc__Western_Midstream_Partners_LP,57.6,23.4,,,415000000.0,59204754.0,elected_pct,direct,"Preliminary results show ~57.6% of Aris securities elected cash (oversubscribed vs. $415M cap) and ~23.4% elected all-stock, with proration expected to convert excess cash elections into WES units."
E000058_20160919_Isle_of_Capri_Casinos_Inc__Caesars_Entertainment_Inc,16.6,86.3,,,,41355302.0,elected_pct,direct,"Cash and stock election percentages were directly disclosed (16.6% cash / 86.3% stock of 41,355,302 shares, later revised to ~16.7%/80.5%); the disclosed 52.2%/47.8% split applies to reallocation of oversubscribed stock-elected shares, not to a proration factor on cash elections, so that field is left null."
E000059_20100118_Brink_s_Home_Security_Holdings_Inc__Johnson_Controls_International_plc,81.2,2.6,,,,,elected_pct,direct,"Cash elections (81.2%) vastly exceeded the ~30% cash cap, triggering proration; final cash/stock mix per share was disclosed but not as a simple proration fraction."
E000060_20070627_Chittenden_Corp__People_s_United_Financial_Inc,41.1,48.5,,,1013022898.0,49977612.0,elected_pct,direct,Preliminary election results directly stated percentages of cash and stock elections with a fixed aggregate cash pool; no final proration factor disclosed.
E000061_20150817_National_Penn_Bancshares_Inc__Truist_Financial_Corp,75.79,11.43,,0.3958,,141495680.0,elected_pct,direct,"Cash election was oversubscribed (75.79% cash vs 30% cap; 11.43% stock vs 70% cap); cash electors prorated to ~39.58% cash/60.42% stock, per final election results 8-K."
E000063_20160411_Hatteras_Financial_Corp__Annaly_Capital_Management_Inc,,,,,,,not_disclosed,not_found,Only tender totals and target proration caps (35% cash/65% stock) are given; actual election breakdown or proration factor was not included in the evidence.
E000064_20180213_Nationstar_Mortgage_Holdings_Inc__Mr_Cooper_Group_Inc,,,,,1225885248.0,,dollars_only,not_found,Only an aggregate fixed cash pool amount is disclosed with qualitative mention of oversubscription proration; no explicit elected/received percentages or share counts are provided.
E000065_20101217_Cumulus_Intermediate_Holdings_LLC__Cumulus_Media_Inc,,,,,1418000000.0,,dollars_only,not_found,Only aggregate cash paid ($1.418B) and stock/warrant share counts issued are disclosed; no percentages or share base for election/proration are given.
E000068_20181119_Resolute_Energy_Corp__Cimarex_Energy_Co,,,,,325600000.0,,received_or_allocated,direct,"Only aggregate post-proration cash ($325.6M) and stock (~5.7M shares) amounts are disclosed, reflecting the fixed 60%/40% aggregate split, not individual election percentages."
E000069_20100819_NewAlliance_Bancshares_Inc__First_Niagara_Financial_Group_Inc,8.0,80.92,,,,105144295.0,elected_pct,direct,Preliminary election results directly state 8.00% elected cash and 80.92% elected stock; final tallies and a firm proration factor were not disclosed in the supplied text.
E000071_20101018_AGA_Medical_Holdings_Inc__St_Jude_Medical_Inc,63.1,36.9,,0.79194328,,49082864.0,elected_pct,direct,"Cash election was oversubscribed; cash-electing holders received cash for 79.194328% of their cash-elected shares and stock for the remainder, per final proration results."
E000072_20070214_TALX_Corp__Equifax_Inc,,,25.0,,283000000.0,,received_or_allocated,direct,"Disclosure reports the fixed 75/25 stock/cash outcome and aggregate cash paid (~$283M), not actual shareholder election percentages."
E000074_20160303_Carmike_Cinemas_Inc__AMC_Entertainment_Holdings_Inc,4.9,91.1,,,,,elected_pct,direct,Filing directly states 4.9% cash and 91.1% stock elections; proration details describe stock-elector allocation (32.9% stock/67.1% cash) but no overall received-cash percentage is given.
E000080_20091021_Switch___Data_Facilities_Co_Inc__Equinix_Inc,,,20.0,,134000000.0,,received_or_allocated,direct,"Final consideration mix realized at the contractual 80% stock/20% cash target (~$134.0M cash, ~5.5M shares), reflecting post-proration outcome rather than raw election percentages."
E000084_20100813_Allis-Chalmers_Energy_Inc__Archer_Ltd,3.0,97.0,,,,,elected_pct,direct,"Preliminary results show ~97% elected stock and ~3% elected cash, well below the 35% cash cap, so no proration was triggered."
E000085_20180607_AV_Homes_Inc__Taylor_Morrison_Home_Corp,50.6,41.9,,1.0,,,elected_pct,direct,"50.6% elected cash (received full $21.50, undersubscribed, no proration) and 41.9% elected stock (prorated to receive partial cash); aggregate value mix was ~58.8% cash/41.2% stock but that reflects consideration value, not share-level receipt percentage."
E000087_20200113_Primo_Water_Operations_Inc__Primo_Water_Corp,1.2,95.04,,,216000000.0,32716138.0,elected_shares_derived,derived,"Cash and stock election percentages derived from disclosed share counts (393,517 cash; 31,094,219 stock) over the 32,716,138 tendered shares base; stock election was oversubscribed and prorated ~67.4%, but no proration factor applies to the undersubscribed cash election."
E000088_20160825_AEP_Industries_Inc__Berry_Global_Group_Inc,,,50.0,,297000000.0,,received_or_allocated,direct,"Merger design fixed cash/stock consideration at a 50%/50% split via a cash conversion number equal to 50% of AEP shares outstanding, with proration forcing that ratio; only aggregate totals ($297M cash, 6.5M Berry shares, including options/RSUs) were disclosed, with no separate election percentages or proration factor."
E000089_20170828_IXYS_Corp__Littelfuse_Inc,1.0,94.0,50.0,1.0,,33086010.0,elected_pct,direct,"Approximately 1% elected cash and 94% elected stock; due to proration, stock electors received 47% of their shares in cash, resulting in an overall 50% cash/50% stock conversion; cash electors were unprorated (full cash)."
E000090_20200115_Pope_Resources_a_Delaware_LP__Rayonier_Inc,79.1,1.8,30.0,0.379,,,elected_pct,direct,"79.1% of units elected cash (oversubscribed) and 1.8% elected stock directly; final consideration was prorated to a ~30% cash/70% stock blend, implying a cash proration factor of about 0.379."
E000093_20130909_MTR_Gaming_Group_Inc__Caesars_Entertainment_Inc,82.8,,20.4,0.246,35000000.0,28386084.0,received_or_allocated,derived,"Cash election was capped at 5,785,123 shares/$35.0M; only ~24.6% of cash-electing shares were actually paid cash (proration factor), equating to ~20.4% of total MTR shares receiving cash consideration, while total cash-elected shares were roughly estimated (~82.8% of base) per the filing's own rough calculation."
E000094_20170710_Hawaiian_Telcom_Holdco_Inc__Cincinnati_Bell_Inc,,,,,218300658.3,,dollars_only,not_found,"Only aggregate blended cash ($218,300,658.30) and share (7,716,840) totals are disclosed; no election-type breakdown or proration factor is provided."
E000095_20080520_China_Water___Drinks_Inc__Nuverra_Environmental_Solutions_Inc,29.6,62.9,,,45000000.0,111400000.0,elected_pct,derived,Pre-signing irrevocable elections give ~29.6% cash and ~62.9% stock of as-converted shares; no final post-closing proration factor was disclosed.
E000096_20120206_SureWest_Communications_Old__Consolidated_Communications_Holdings_Inc,68.3,9.2,50.0,0.669,170000000.0,14776178.0,elected_pct,direct,"Preliminary results directly state 68.3% cash and 9.2% stock elections out of 14,776,178 shares, with cash elections prorated to ~66.9% fill rate and overall 50/50 cash-stock outcome (~$170M cash paid)."
E000098_20100826_Wesco_Financial_Corp__Berkshire_Hathaway_Inc,,,,,,,not_disclosed,not_found,"No election percentages, share counts, or dollar amounts disclosed; merger had no proration mechanism and results were not reported."
E000099_20170501_Angie_s_List_Inc__Match_Group_Inc,0.37,73.69,0.37,1.0,1913146.0,61515922.0,elected_pct,direct,"Cash election (0.37%) was far below the $130M cap, so no proration occurred and all cash-electing shares received full cash consideration."
E000101_20150622_Martha_Stewart_Living_Omnimedia_Inc__SQBG_Inc,,,,,,,parse_error,,
E000103_20210729_Misonix_Inc__Bioventus_Inc,61.23,32.68,,0.6126,298772348.0,17427170.0,elected_pct,direct,"Cash election was oversubscribed (61.23% elected cash vs $182,985,285 cap), resulting in ~61.27% proration factor and mixed cash/stock consideration per share."
E000104_20110120_Danvers_Bancorp_Inc__People_s_United_Financial_Inc,81.5,9.8,45.1,0.553,214490732.0,20686592.0,elected_pct,direct,"81.5% of Danvers shares elected cash and 9.8% elected stock (of 20,686,592 shares); due to cash oversubscription, only ~55.3% of cash-electing shares were actually paid in cash (~45.1% of total shares, based on the 9,325,684-share cash conversion number), with the remainder converted to stock."
E000105_20170630_Sun_Bancorp_Inc_NJ__OceanFirst_Financial_Corp,44.07,51.08,15.13,0.34,72366671.16,19144622.0,received_or_allocated,direct,"Cash was oversubscribed; only 34% of cash-election shares (44.07% of total) were actually converted to cash, yielding 2,895,825 shares (~15.13% of base) receiving cash consideration totaling $72,366,671.16."
E000107_20210622_County_Bancorp_Inc__Nicolet_Bankshares_Inc,,,20.24,,48899000.0,6112000.0,received_or_allocated,derived,"Post-allocation results show 1,237,000 of 6,112,000 County shares (20.24%) received cash, exactly matching the cash election cap, implying oversubscription and pro rata reduction of cash elections to the threshold; actual elected percentages are not separately disclosed."
E000108_20100202_COMSYS_IT_Partners_Inc__ManpowerGroup_Inc,89.93,10.07,50.0,0.556,,19787017.0,received_or_allocated,direct,"89.93% of tendered shares directly elected cash and 10.07% elected stock, but cash was oversubscribed and capped at 50% of tendered shares, so only 50% ultimately received cash consideration under a ~0.556 proration factor."
E000110_20070702_North_Pittsburgh_Systems_Inc__Consolidated_Communications_Holdings_Inc,82.6,9.0,80.0,0.9682,,15005000.0,received_or_allocated,derived,"Final results show 82.6% elected cash (of which ~96.82% actually received cash after proration, converging to the 80% cash conversion cap), 9.0% elected stock, with remainder non-electing shares receiving stock."
E000112_20161024_Merchants_Bancshares_Inc_VT__Community_Financial_System_Inc,,,,,,,oversubscribed_qualitative,not_found,"Filing describes stock election as oversubscribed and cash election fully satisfied, but provides no specific share counts, percentages, or dollar totals to quantify elections or proration factors."
E000114_20150127_Courier_Corp__RR_Donnelley___Sons_Co,11.9,88.1,,,,11516746.0,elected_pct,direct,"Stock election was oversubscribed (10,147,716 shares vs 5,815,644 cap), with stock electors receiving ~57.31% stock/~43% cash proration; cash electors and non-electors (11.9% combined) received 100% cash, with no separate pure cash-only percentage disclosed."
E000115_20100410_Boots___Coots_LLC__Halliburton_Co,34.7,6.0,,0.676,,,elected_pct,direct,"Preliminary election results as of Sept 7, 2010 deadline show 34.7% elected cash and 6.0% elected stock, with cash electors estimated to receive ~67.6% cash due to oversubscription."
E000117_20151208_Fox_Chase_Bancorp_Inc__Univest_Financial_Corp,73.8,17.3,40.0,0.542,98862876.0,11769390.0,received_or_allocated,direct,"Cash electors (~73.8%) were prorated to ~54.2% cash fill, aligning with the fixed 40% aggregate cash consideration cap; aggregate cash paid was $98,862,876 on a base of 11,769,390 shares."
E000118_20110420_Bancorp_Rhode_Island_Inc__Brookline_Bancorp_Inc,96.1,2.5,,0.519,112900000.0,4688591.0,elected_pct,direct,"96.1% of shares elected cash and were prorated at 51.9% into cash with the remainder into stock, per December 20, 2011 preliminary results."
E000119_20220524_PCSB_Financial_Corp__Brookline_Bancorp_Inc,86.3,3.6,40.0,0.4638,,15334707.0,elected_pct,direct,"Preliminary Dec 30, 2022 results directly state 86.3% elected cash, 3.6% elected stock (of 15,334,707 shares), with cash electors receiving ~46.38% cash proration to meet the 40% aggregate cash target."
E000121_20070129_Premier_Community_Bankshares_Inc__United_Bankshares_Inc_WV,,,50.0,,,,received_or_allocated,direct,"Final mix settled at the contractual 50% stock floor / 50% cash, but this reflects post-proration allocation, not raw election demand percentages."
E000122_20070720_Oak_Hill_Financial_Inc__WesBanco_Inc,65.36,28.24,,0.152987,,5370892.0,elected_pct,direct,Filing directly states cash/stock election percentages and a separate proration factor (15.2987%) applied to cash-electing shares due to oversubscription.
E000123_20130306_Asset_Acceptance_Capital_Corp__Encore_Capital_Group_Inc,47.9,49.96,,,,30929145.0,elected_pct,direct,"Election percentages directly stated (47.9% cash, 49.96% stock of 30,929,145 shares); stock elections were oversubscribed and prorated, cash elections were not, so no cash proration factor applies."
E000125_20141215_LNB_Bancorp_Inc__Northwest_Bancshares_Inc,,,50.0,,,,received_or_allocated,direct,"Deal structure fixed 50% cash/50% stock allocation overall, but specific election percentages and final proration factor were not disclosed in the supplied text."
E000126_20071217_IBT_Bancorp_Inc_PA__S_T_Bancorp_Inc,26.32,58.77,45.0,1.0,,5380150.0,elected_pct,direct,"Cash elections (26.32%) were filled in full while oversubscribed stock elections (58.77%) were prorated (~0.94 factor) to meet the 55%/45% stock/cash caps, resulting in ~45% of shares ultimately receiving cash."
E000131_20170501_ASB_Bancorp_Inc__First_Bancorp_Southern_Pines_NC,,,,1.0,,,oversubscribed_qualitative,not_found,"No proration was applied to elected shares (each got requested consideration), but no raw counts or percentages of cash vs. stock elections were disclosed."
E000136_20130422_Met-Pro_Corp__CECO_Environmental_Corp,66.6,20.3,51.6,,104419281.0,,received_or_allocated,direct,"Preliminary elections (66.6% cash, 20.3% stock, 13.1% no election) were reported directly, with final post-proration outcome of 51.6% shares receiving cash (~$104.4M aggregate) due to oversubscription."
E000137_20070910_Great_Lakes_Bancorp_Inc__First_Niagara_Financial_Group_Inc,,,,0.57,75800000.0,10826198.0,proration_factor_only,direct,"Cash was oversubscribed (>50% of shares); cash electors received ~43% of their cash request in stock (57% fill factor) with remainder in cash, and aggregate cash paid at closing was $75.8 million, but exact elected/received percentages were not quantified."
E000140_20150504_PMFG_Inc__CECO_Environmental_Corp,,,44.5,0.5805,64600000.0,,received_or_allocated,direct,"Raw election demand not disclosed; only post-proration outcomes (44.5% received cash, 58.05% cash-election proration factor, $64.6M aggregate cash) are stated."
E000145_20070516_East_Penn_Financial_Corp__Harleysville_National_Corp,,,,,50700000.0,,oversubscribed_qualitative,not_found,"Stock election was oversubscribed; stock electors received stock for ~89% of their shares and cash for the remaining ~11%, while cash/no-election shareholders were paid $14.50 cash in full, but no explicit pct_elected figures or shares_base were disclosed."
E000147_20151130_HF_Financial_Corp__Great_Western_Bancorp_Inc,19.56,70.3,25.0,,,7073065.0,received_or_allocated,direct,"Cash (19.56%) and stock (70.30%) elections were both under their caps and honored in full; non-electing shares (10.14%) were prorated ~53.68% cash/46.32% stock to reach the required 25% cash / 75% stock aggregate mix, yielding an effective 25% cash outcome."
E000148_20081215_American_Bancorp_of_New_Jersey_Inc__Investors_Bancorp_Inc,,,,0.39,,,proration_factor_only,direct,"Cash election was oversubscribed relative to the 35% cash cap; only the resulting proration factor (~39% cash/61% stock on cash-elected shares) is disclosed, with no raw share counts or aggregate dollar figures provided."
E000151_20120531_Beacon_Federal_Bancorp_Inc__Beacon_Financial_Corp,,,,,60000000.0,,dollars_only,not_found,"Only aggregate cash ($60M) and stock share totals (~2.7M shares) are disclosed; no election percentages, share counts, or final proration factor are provided."
E000152_20061016_First_Morris_Bank_NJ__Provident_Financial_Services_Inc,,,66.46,0.6646,,,received_or_allocated,direct,"Cash election was oversubscribed; only the proration outcome (66.46% cash-filled, 33.54% stock-filled) for cash-election shares was disclosed, not the raw election percentages."
E000153_20190816_Bancorp_of_New_Jersey_Inc__ConnectOne_Bancorp_Inc,,,20.0,,,,received_or_allocated,direct,"Text states outcome percentages (20% cash/80% stock converted at closing) consistent with the fixed cash/stock allocation caps, not raw election demand figures."
E000160_20120417_SRS_Labs_Inc__DTS_Inc_CA,86.0,6.0,50.0,0.5687,,,elected_pct,direct,"86% of shares elected cash but was capped at 50%; proration factor of ~56.87% applied to cash-election shares, with remainder converted to stock."
E000166_20071011_Slade_s_Ferry_Bancorp__Independent_Bank_Corp,,,25.0,0.536745,,,received_or_allocated,direct,"Cash elections were oversubscribed; overall 25% of shares converted to cash and 75% to stock, with electing cash shareholders receiving cash for 53.6745% of their shares (proration factor) and stock for the remainder."
E000167_20101025_Wilber_Corp__Community_Financial_System_Inc,,,,,,,received_or_allocated,not_found,"Only qualitative/relative proration outcomes are given (all-stock electors scaled back to 96.98% stock/3.02% cash; mixed/non-electors at 80%/20%); no exact elected percentages, share counts, or an overall aggregate cash/stock received percentage are disclosed."
E000174_20141113_Foster_Wheeler_AG__Amec_Foster_Wheeler_Ltd,93.72,6.28,50.45,0.5383,1540273504.0,95395711.0,received_or_allocated,derived,"Elected percentages are directly stated (93.72% cash, 6.28% stock of 95,395,711 shares); final proration applied 53.83% cash/46.17% stock to cash-elected shares, and pct_received_cash was derived from aggregate cash paid ($1,540,273,504 / $32.00) divided by total tendered shares."
E000178_20131010_Camco_Financial_Corp__Huntington_Bancshares_Inc_OH,,88.0,20.0,,,,elected_pct,direct,"88% of Camco shares elected stock (oversubscribed vs 80% cap), so stock was prorated to cash; cash election shares received all cash and non-electing shares received all cash per the 20% cash cap."
E000180_20191218_MSB_Financial_Corp_MD__Kearny_Financial_Corp_MD,,,,0.123,,,proration_factor_only,direct,"Cash elections were oversubscribed with a disclosed proration factor of ~12.3% applied to cash-elected shares, but no elected/received percentages or share counts were provided."
E000185_20080903_Lincoln_Bancorp_IN__First_Merchants_Corp,,,,,16800000.0,,dollars_only,direct,"Only aggregate dollar cash figure (~$16.8M) and post-proration stock share count are disclosed; no raw election percentages, share counts, or proration factor were provided."
E000187_20080409_EP_Medsystems_Inc__St_Jude_Medical_Inc,71.19,14.25,,0.8415,,30354236.0,elected_pct,direct,"71.19% of shares elected cash (oversubscribed, prorated to receive ~84.15% cash/15.85% stock per share), 14.25% elected stock and received full stock, 14.56% non-electing received stock by default."
E000188_20120514_Citizens_South_Banking_Corp__Park_Sterling_Corp,30.11,69.89,30.11,,24300000.0,11526324.0,elected_shares_derived,derived,"No proration was triggered (cash and stock elections were both within caps), so elected and received percentages are equal; derived from aggregate cash paid and stock shares issued divided by implied total shares exchanged."
